ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
AKOYA,2806 NOS,935.30,2624444.55,
133-1001 (ORANGE AK 16A 1W 1G SWITCH),106 NOS,349.01,36995.12,
133-1002 (ORANGE AK 16A 1W 2G SWITCH),279 NOS,513.96,143395.66,
133-1003 (ORANGE AK 16A 1W 3G SWITCH),122 NOS,766.40,93500.25,
133-1004 (ORANGE AK 16A 1W 4G SWITCH),149 NOS,978.04,145727.86,
133-1005 (ORANGE AK 16A 1W 5G SWITCH),22 NOS,1030.31,22666.85,
133-1008 (ORANGE AK 16A 2W 1G BELL PRESS SWITCH),,,,
133-1009 (ORANGE AK 10A 1G INTERMEDIATE SWITCH WHITE),,,,
133-1010 (ORANGE AK BLANK PLATE W/REMOVABLE PLUG),91 NOS,255.84,23281.20,
133-1011 (ORANGE AK 16A 2W 1G SWITCH),71 NOS,658.14,46727.60,
133-1012 (ORANGE AK 16A 2W 2G SWITCH),37 NOS,1024.14,37893.29,
133-1013 (ORANGE AK 16A 2W 3G SWITCH),159 NOS,1157.52,184045.59,
133-1014 (ORANGE AK 16A 2W 4G SWITCH),77 NOS,1371.69,105620.11,
133-1015 (ORANGE AK 16A 2W 5G SWITCH),,,,
133-1017 (ORANGE AK 400W LIGHT DIMMER),19 NOS,1705.44,32403.39,
133-1018 (ORANGE AK 400W FAN SPEED CONTROLLER),14 NOS,1521.71,21303.98,
133-1021 (ORANGE AK 20A DOUBLE POLE W/INDICATOR),34 NOS,1809.70,61529.65,
133-1023 (ORANGE AK 5 STEP HUMFREE FAN CONTROLLER),20 NOS,1928.32,38566.42,
133-1036 (ORANGE AK 10A 1W 1G BELL PRESS SWITCH),100 NOS,622.02,62202.34,
133-1072 (ORANGE AK 13A S/SOCKET OUTLET),230 NOS,1142.76,262833.81,
133-1075 (ORANGE AK 1G 4WIRE  TELEPHONE SOCKET),17 NOS,1062.76,18067.00,
133-1076 (ORANGE AK 75 OHM TV SOCKET OUTLET),14 NOS,1774.18,24838.51,
134-1001 (ORANGE AK 16A 1W 1G SWITCH BLACK MATT),201 NOS,655.42,131738.56,
134-1002 (ORANGE AK 16A 1W 2G SWITCH BLACK MATT),260 NOS,773.75,201175.94,
134-1003 (ORANGE AK 16A 1W 3G SWITCH BLACK MATT),186 NOS,952.35,177136.82,
134-1004 (ORANGE AK 16A 1W 4G SWITCH BLACK MATT),49 NOS,1185.36,58082.55,
134-1005 (ORANGE AK 16A 1W 5G SWITCH BLACK MATT),-2 NOS,,,
134-1010 (ORANGE AK BL PL W/R PLUG BLACK MATT),43 NOS,457.80,19685.61,
134-1011 (ORANGE AK 16A 2W 1G SWITCH BLACK MATT),74 NOS,814.21,60251.75,
134-1012 (ORANGE AK 16A 2W 2G SWITCH BLACK MATT),56 NOS,1037.84,58119.05,
134-1013 (ORANGE AK 16A 2W 3G SWITCH BLACK MATT),94 NOS,1226.69,115308.66,
134-1014 (ORANGE AK 16A 2W 4G SWITCH BLACK MATT),-4 NOS,1428.44,-5713.75,
134-1017 (ORANGE AK 400W L/DIMMER BLACK MATT),14 NOS,1373.04,19222.61,
134-1018 (ORANGE AK 400W FAN CONTROLLER BLACK MATT),21 NOS,1962.79,41218.51,
134-1021 (ORANGE AK 20A D/P W/INDICATOR BLACK MATT),32 NOS,1954.37,62539.90,
134-1023 (ORANGE AK 5ST HF FAN CONTROLLER BLACK MATT),31 NOS,2255.04,69906.28,
134-1036 (ORANGE AK 16A 1W 1G B/PRESS SW BK MT),33 NOS,816.44,26942.41,
134-1072 (ORANGE AK 13A S/SO OUTLET BLACK MATT),94 NOS,1078.39,101369.02,
134-1075 (ORANGE AK 1G 4WIRE TP SO BLACK MATT),50 NOS,2289.72,114485.90,
134-1076 (ORANGE AK TV SOC OUTLET BLACK MATT),10 NOS,648.61,6486.10,
135-1004 (ORANGE AK 10A 1W 4G SW BK MT W/GMMT SU),,,,
135-1011 (ORANGE AK 10A 2W 1G SW BK MT W/GMMT SU),,,,
143-1001 (ORANGE AK 1W 1G SWITCH BLACK),,,,
143-1003 (ORANGE AK 1W 3G SWITCH BLACK),,,,
143-1005 (ORANGE AK 10A 1W 5G SWITCH BLACK),,,,
143-1008 (ORANGE AK 2W 1G BELL PRESS SWITCH BLACK),,,,
143-1011 (ORANGE AK 2W 1G SWITCH BLACK),,,,
143-1013 (ORANGE AK 2W 3G SWITCH BLACK),,,,
143-1017 (ORANGE AK 400W LIGHT DIMMER BLACK),,,,
143-1020 (ORANGE AK 20A D/P SWITCH BLACK),,,,
143-1023 (ORANGE AK 5 STEP HUMFREE FAN CONTRL BLACK),,,,
143-1075 (ORANGE AK 1G 4WIRE TELEPHONE SOCKET BLACK),,,,
143-1076 (ORANGE AK TV SOCKET OUTLET BLACK),,,,
150-1008 (ORANGE 2W 1G BELLPRESS M/NIGHT GREEN),3 NOS,1630.00,4890.00,
188-1302 (ORANGE SPECIAL AK FOUR GANG SWITCH),,,,
188-1332 (ORANGESPECIAL AK 1 WAY 4 GANG SWITCH BLACK),,,,
260-0122 (ORANGE AK 1W 2G SWITCH BLACK),,,,
