ST. Anthonys Distributor (2024 -2025),,,,
SWISSTEK,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,SWISSTEK,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
BATHROOM DOOR,9 NOS,32345.60,291110.37,
FABD2775W205NETLO (SWISSTEK BATHROOM DOOR WALNUT 27 X 75 ECO-TYPE LEFT),2 NOS,31917.60,63835.20,
FABD2775W205NETRO (SWISSTEK BATHROOM DOOR WALNUT 27 X 75 ECO-TYPE RIGHT),1 NOS,31917.60,31917.60,
"FABD2775W205NFPLO (SWISSTEK BATH DO (FULL PAN) WALNUT 27"" X 75"" GEN-LEFT)",,,,
FABD2775W304NETLO (SWISSTEK BATHROOM DOOR TEAK 27 X 75 ECON-LEFT),2 NOS,31620.00,63240.00,
FABD2775W304NETRO (SWISSTEK BATHROOM DOOR TEAK 27 X 75 ECON-RIGHT),3 NOS,31619.98,94859.95,
FABD2775W304NFPRO (SWISSTEK BATH DO(FULL PAN) TEAK 27X75 GEN - RIGHT),,,,
SWISSTEK BATHROOM DOOR TEAK 27 X 75,,,,
SWISSTEK BATHROOM DOOR TEAK 27X75 GENERAL,,,,
SWISSTEK BATHROOM DOOR WALNUT 27 X 75,1 NOS,37257.62,37257.62,
DECORATIVE PEBBLES,76 NOS,1962.82,149174.60,
CADPEAQ-BLAC00C (SWISSTEK AQUARIUM PEBBLES BLACK 25KG),10 NOS,1255.33,12553.27,
CADPEAQ-GREY00C (SWISSTEK AQUARIUM PEBBLES GREY 25KG),9 NOS,1216.65,10949.81,
DAPPEBBCRWH00C (SWISSTEK D/PEBBLES C/WHITE LARGE 25KG),13 NOS,2947.47,38317.07,
DAPPEBBGREY00C (SWISSTEK D/PEBBLES GREY LARGE - 25KG),6 NOS,1780.15,10680.90,
DAPPEBBIVOR00C (SWISSTEK D/PEBBLES IVORY LARGE - 25KG),1 NOS,2650.09,2650.09,
DAPPEBBPINK00C (SWISSTEK D/PEBBLES PINK LARGE - 25KG),6 NOS,2078.19,12469.14,
DAPPEBBSBLAC00C (SWISSTEK D/PEBBLES BLACK SMALL 25KG),12 NOS,1744.59,20935.10,
DAPPEBBSCRWH00C (SWISSTEK D/PEBBLES C/WHITE SMALL 25KG),7 NOS,2651.63,18561.42,
DAPPEBBSGREY00C (SWISSTEK D/PEBBLES GREY SMALL - 25KG),9 NOS,1780.15,16021.36,
DAPPEBBSIVOR00C (SWISSTEK D/PEBBLES IVORY SMALL - 25KG),,,,
DAPPEBBSPINK00C (SWISSTEK D/PEBBLES PINK SMALL - 25KG),3 NOS,2012.15,6036.44,
EPOXY GROUT,3 NOS,3637.33,10912.00,
001-1-8 (SWISSTEK EPOXY GROUT FILLER 1.8KG CRYSTAL WHITE),2 NOS,704.00,1408.00,
SWISSTEK EPOXY GROUT 2.5KG BUCKET,,,,
SWISSTEK EPOXY GROUT 5KG BUCKET,,,,
SWISSTEK EPOXY GROUT PART A/B 0.700KG,1 NOS,9504.00,9504.00,
FILTER,3 NOS,704.00,2112.00,
020-1-8 (SWISSTEK EPOXY FILLER 1.8 KG SLIVER GREY),3 NOS,704.00,2112.00,
